7,4,3,4,7,4,3,4,7,4,3,4,7,4,3,4,7,4,3,4,7,4,3,4,7
8,5,4,5,8,5,4,5,8,5,4,5,8,5,4,5,8,5,4,5,8,5,4,5,8
1,6,5,6,1,6,5,6,1,6,5,6,1,6,5,6,1,6,5,6,1,6,5,6,1
2,7,6,7,2,7,6,7,2,7,6,7,2,7,6,7,2,7,6,7,2,7,6,7,2
3,8,7,8,3,8,7,8,3,8,7,8,3,8,7,8,3,8,7,8,3,8,7,8,3
4,1,8,1,4,1,8,1,4,1,8,1,4,1,8,1,4,1,8,1,4,1,8,1,4
5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5
6,3,2,3,6,3,2,3,6,3,2,3,6,3,2,3,6,3,2,3,6,3,2,3,6
7,4,3,4,7,4,3,4,7,4,3,4,7,4,3,4,7,4,3,4,7,4,3,4,7
8,5,4,5,8,5,4,5,8,5,4,5,8,5,4,5,8,5,4,5,8,5,4,5,8
1,6,5,6,1,6,5,6,1,6,5,6,1,6,5,6,1,6,5,6,1,6,5,6,1
2,7,6,7,2,7,6,7,2,7,6,7,2,7,6,7,2,7,6,7,2,7,6,7,2
3,8,7,8,3,8,7,8,3,8,7,8,3,8,7,8,3,8,7,8,3,8,7,8,3
4,1,8,1,4,1,8,1,4,1,8,1,4,1,8,1,4,1,8,1,4,1,8,1,4
5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5
6,3,2,3,6,3,2,3,6,3,2,3,6,3,2,3,6,3,2,3,6,3,2,3,6
7,4,3,4,7,4,3,4,7,4,3,4,7,4,3,4,7,4,3,4,7,4,3,4,7
8,5,4,5,8,5,4,5,8,5,4,5,8,5,4,5,8,5,4,5,8,5,4,5,8
1,6,5,6,1,6,5,6,1,6,5,6,1,6,5,6,1,6,5,6,1,6,5,6,1
2,7,6,7,2,7,6,7,2,7,6,7,2,7,6,7,2,7,6,7,2,7,6,7,2
3,8,7,8,3,8,7,8,3,8,7,8,3,8,7,8,3,8,7,8,3,8,7,8,3
4,1,8,1,4,1,8,1,4,1,8,1,4,1,8,1,4,1,8,1,4,1,8,1,4
